GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
p2p,com.finovago.p2p.dto,RefundRequest,0,15,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,GiftCardResponse,0,18,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,HoldResponse,0,15,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,RedemptionRequest,0,9,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,RedemptionResponse,0,15,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,CreditRequest,0,12,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,ReserveRequest,0,9,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,LedgerEntryResponse,0,24,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,ApiKeyStatusResponse,0,9,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,RefundResponse,0,12,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,GiftCardCreateRequest,0,15,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,RegisterRequest,0,12,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,ApiKeyResponse,0,9,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,AddMerchantUserRequest,0,9,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,CreditResponse,0,12,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,AuthResponse,0,9,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,UserStatusResponse,0,12,0,0,0,1,0,1,0,1
p2p,com.finovago.p2p.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
